label,email_text,email_text_clean
spam,"Hello,

Your Apple ID account has been flagged due to recent suspicious login attempts. 
For your protection, some services have been disabled.

Please confirm your identity by logging in through the secure portal:

https://secure-paypal-login.com/secure-login

Failure to respond may result in permanent suspension of your account.

Regards,
Apple ID Support",helloyour apple id account has been flagged due to recent suspicious login attempts for your protection some services have been disabledplease confirm your identity by logging in through the secure portal to respond may result in permanent suspension of your accountregardsapple id support
spam,"Package On Hold

Your recent DPD shipment could not be delivered because the address appears incomplete or invalid.

To avoid return-to-sender fees, please verify your delivery information and pay the address correction fee here:

https://track-your-parcel-today.com/update-address

If you do not respond within 12 hours, your package will be returned and you may incur additional charges.

Regards,
DPD Customer Service",package on holdyour recent dpd shipment could not be delivered because the address appears incomplete or invalidto avoid returntosender fees please verify your delivery information and pay the address correction fee here you do not respond within hours your package will be returned and you may incur additional chargesregardsdpd customer service
ham,Can Ì_ call me at 10:10 to make sure dat i've woken up...,ì_ call 1010 make sure dat ive woken
ham,Everybody had fun this evening. Miss you.,everybody fun evening miss
ham,Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...,watch lor saw swatch one thk quite ok ard 116 need 2nd opinion leh
ham,Call me when u finish then i come n pick u.,call u finish come n pick u
ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",good afternoon love goes day hope maybe got leads job think boytoy send passionate kiss across sea
ham,Waiting in e car 4 my mum lor. U leh? Reach home already?,waiting e car 4 mum lor u leh reach home already
ham,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.,hows going got exciting karaoke type activities planned im debating whether play football eve feeling lazy though
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",eerie nokia tones 4u rply tone title 8007 eg tone dracula 8007 titles ghost addamsfa munsters exorcist twilight wwwgetzedcouk pobox36504w45wq 150p
ham,I wish that I was with you. Holding you tightly. Making you see how important you are. How much you mean to me ... How much I need you ... In my life ...,wish holding tightly making see important much mean much need life
spam,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,449071512431 urgent 2nd attempt contact uu å1250 call 09071512433 b4 050703 tcsbcm4235wc1n3xx callcost 150ppm mobilesvary maxå7 50
spam,"Package On Hold

Your recent Royal Mail shipment could not be delivered because the address appears incomplete or invalid.

To avoid return-to-sender fees, please verify your delivery information and pay the address correction fee here:

https://dhl-pay-fee-delivery.com/update-address

If you do not respond within 12 hours, your package will be returned and you may incur additional charges.

Regards,
Royal Mail Customer Service",package on holdyour recent royal mail shipment could not be delivered because the address appears incomplete or invalidto avoid returntosender fees please verify your delivery information and pay the address correction fee here you do not respond within hours your package will be returned and you may incur additional chargesregardsroyal mail customer service
