email_text,label
"Subject: Your order has been shipped

Your payment has been processed successfully.

Regards,
Team",safe
"Subject: Project update

Let me know if you have any questions.

Regards,
Team",safe
"Subject: Thank you for your payment

Looking forward to our meeting.

Regards,
Team",safe
"Subject: Reset your password immediately

We noticed unusual activity and need you to confirm your identity.

Verify here: http://a7ff067c.verify-login.com",phishing
"Subject: You have won a gift card

Your payment method was declined. Update it to avoid service interruption.

Verify here: http://0b3bc39e.verify-login.com",phishing
"Subject: Your order has been shipped

Attached is the invoice for your records.

Regards,
Team",safe
"Subject: Invoice for your recent purchase

Here's the summary of today's discussion.

Regards,
Team",safe
"Subject: Team announcement

Looking forward to our meeting.

Regards,
Team",safe
"Subject: Your order has been shipped

Your order has been dispatched and is on its way.

Regards,
Team",safe
"Subject: Your monthly subscription report

Your order has been dispatched and is on its way.

Regards,
Team",safe
"Subject: Reminder: Upcoming event

Looking forward to our meeting.

Regards,
Team",safe
"Subject: Invoice for your recent purchase

Here's the summary of today's discussion.

Regards,
Team",safe
"Subject: Project update

Your order has been dispatched and is on its way.

Regards,
Team",safe
"Subject: Meeting scheduled for tomorrow

Your payment has been processed successfully.

Regards,
Team",safe
"Subject: Thank you for your payment

Your payment has been processed successfully.

Regards,
Team",safe
"Subject: Your order has been shipped

Please find the attached report.

Regards,
Team",safe
"Subject: Urgent: Verify your information

Your shipment requires additional information. Provide details immediately.

Verify here: http://3ce7c3a3.verify-login.com",phishing
"Subject: Meeting scheduled for tomorrow

Please find the attached report.

Regards,
Team",safe
"Subject: Invoice for your recent purchase

Please find the attached report.

Regards,
Team",safe
"Subject: Invoice for your recent purchase

Let me know if you have any questions.

Regards,
Team",safe
"Subject: Team announcement

Here's the summary of today's discussion.

Regards,
Team",safe
"Subject: Meeting scheduled for tomorrow

Attached is the invoice for your records.

Regards,
Team",safe
"Subject: Your account has been suspended

Your shipment requires additional information. Provide details immediately.

Verify here: http://38380878.verify-login.com",phishing
"Subject: Team announcement

Please find the attached report.

Regards,
Team",safe
"Subject: Your monthly subscription report

Your payment has been processed successfully.

Regards,
Team",safe
"Subject: Team announcement

Attached is the invoice for your records.

Regards,
Team",safe
"Subject: Invoice for your recent purchase

Looking forward to our meeting.

Regards,
Team",safe
"Subject: Team announcement

Let me know if you have any questions.

Regards,
Team",safe
"Subject: Your order has been shipped

Let me know if you have any questions.

Regards,
Team",safe
"Subject: Project update

Looking forward to our meeting.

Regards,
Team",safe
"Subject: Notes from today’s call

Let me know if you have any questions.

Regards,
Team",safe
"Subject: You have won a gift card

Your payment method was declined. Update it to avoid service interruption.

Verify here: http://2cd32ade.verify-login.com",phishing
"Subject: Reminder: Upcoming event

Here's the summary of today's discussion.

Regards,
Team",safe
"Subject: Your monthly subscription report

Your payment has been processed successfully.

Regards,
Team",safe
"Subject: Reminder: Upcoming event

Your payment has been processed successfully.

Regards,
Team",safe
"Subject: Urgent: Verify your information

Your payment method was declined. Update it to avoid service interruption.

Verify here: http://1f5bb739.verify-login.com",phishing
"Subject: Your order has been shipped

Please find the attached report.

Regards,
Team",safe
"Subject: Notes from today’s call

Please find the attached report.

Regards,
Team",safe
"Subject: Final warning: Your account will be closed

Your account will be deactivated in 24 hours unless you verify your details.

Verify here: http://ee55c533.verify-login.com",phishing
"Subject: Your payment failed

Click the link below to resolve the issue urgently.

Verify here: http://a91dc9fa.verify-login.com",phishing
"Subject: Project update

Here's the summary of today's discussion.

Regards,
Team",safe
"Subject: Your order has been shipped

Let me know if you have any questions.

Regards,
Team",safe
"Subject: Reminder: Upcoming event

Thank you for your cooperation.

Regards,
Team",safe
"Subject: Your monthly subscription report

Your order has been dispatched and is on its way.

Regards,
Team",safe
"Subject: Final warning: Your account will be closed

We noticed unusual activity and need you to confirm your identity.

Verify here: http://9f42560b.verify-login.com",phishing
"Subject: Your monthly subscription report

Please find the attached report.

Regards,
Team",safe
"Subject: You have won a gift card

Your account will be deactivated in 24 hours unless you verify your details.

Verify here: http://dbc53022.verify-login.com",phishing
"Subject: Thank you for your payment

Attached is the invoice for your records.

Regards,
Team",safe
"Subject: Meeting scheduled for tomorrow

Your order has been dispatched and is on its way.

Regards,
Team",safe
"Subject: Meeting scheduled for tomorrow

Please find the attached report.

Regards,
Team",safe
"Subject: Urgent: Verify your information

Your shipment requires additional information. Provide details immediately.

Verify here: http://7d452220.verify-login.com",phishing
"Subject: Team announcement

Looking forward to our meeting.

Regards,
Team",safe
"Subject: Meeting scheduled for tomorrow

Your order has been dispatched and is on its way.

Regards,
Team",safe
"Subject: Reset your password immediately

Your account will be deactivated in 24 hours unless you verify your details.

Verify here: http://307566f8.verify-login.com",phishing
"Subject: Unusual login attempt detected

Click the link below to resolve the issue urgently.

Verify here: http://cfd48a07.verify-login.com",phishing
"Subject: Your monthly subscription report

Your payment has been processed successfully.

Regards,
Team",safe
"Subject: Team announcement

Please find the attached report.

Regards,
Team",safe
"Subject: Reminder: Upcoming event

Your payment has been processed successfully.

Regards,
Team",safe
"Subject: Thank you for your payment

Here's the summary of today's discussion.

Regards,
Team",safe
"Subject: You have won a gift card

We detected a login attempt from a new device. Please confirm if this was you.

Verify here: http://3c1478df.verify-login.com",phishing
"Subject: Final warning: Your account will be closed

Click the link below to resolve the issue urgently.

Verify here: http://8a96d909.verify-login.com",phishing
"Subject: Notes from today’s call

Looking forward to our meeting.

Regards,
Team",safe
"Subject: Notes from today’s call

Your order has been dispatched and is on its way.

Regards,
Team",safe
